,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,actor,borf,30,20,10,0.2682302631578947,0.0024398792457972227,694.3158438205719,366.8116796016693
0,actor,borf,9,4,3,0.2659671052631579,0.002339875860878378,923.0196132659912,11.59561014175415
0,actor,borf,5,10,5,0.26709868421052635,0.0025096417259835675,764.6176190376282,11.264768600463867
0,actor,borf,5,2,1,0.2664407894736842,0.002390865508740805,790.8118824958801,11.467971801757812
0,actor,borf,10,10,5,0.2626776315789474,0.002267884827939414,801.5020186901093,11.621164798736572
0,actor,borf,10,2,1,0.26599342105263163,0.0023801387765354917,791.2226231098175,11.593092203140259
0,actor,borf,15,2,1,0.26667763157894736,0.0023014188535797194,788.704048871994,11.751308679580688
0,actor,borf,1,20,10,0.2660789473684211,0.0021712775003162313,808.3347198963165,11.8407883644104
0,actor,borf,20,2,1,0.26499999999999996,0.002347421524063019,786.4855661392212,11.677367687225342
0,actor,borf,2,20,10,0.26588157894736847,0.002331215071998154,784.2638716697693,11.583366632461548
0,actor,borf,30,2,1,0.26464473684210527,0.002295184951418695,808.4377970695496,11.759321451187134
0,actor,borf,3,20,10,0.26529605263157896,0.0023845485266398496,781.4217352867126,11.65809440612793
0,actor,borf,5,2,2,0.2664934210526316,0.0022475174824225543,796.9701492786407,11.728503704071045
0,actor,borf,1,20,20,0.26715131578947365,0.0024616346363955993,785.9636504650116,11.643970012664795
0,actor,borf,10,2,2,0.26894078947368416,0.0025105935525587546,755.3718090057373,11.57052230834961
0,actor,borf,2,20,20,0.26735526315789476,0.0023104588768482004,774.0859136581421,11.686936140060425
0,actor,borf,15,2,2,0.2659342105263158,0.0026296427087388265,787.2276110649109,11.66901445388794
0,actor,borf,3,20,20,0.2650197368421053,0.0025604908176259517,775.9679186344147,11.551108837127686
0,actor,borf,20,2,2,0.2630131578947368,0.002463274569886232,804.0512683391571,11.721646308898926
0,actor,borf,1,20,30,0.2662763157894737,0.0021220237426906744,787.5128095149994,11.578620195388794
0,actor,borf,30,2,2,0.26511842105263156,0.002150821205018139,798.3785996437073,11.736557006835938
0,actor,borf,2,20,30,0.2669868421052631,0.002288897386633441,803.6146428585052,13.221900224685669
0,actor,borf,5,2,3,0.2646973684210526,0.002368583327774098,776.0854845046997,11.699350357055664
0,actor,borf,3,20,30,0.2657302631578947,0.0022094369966363073,803.1241579055786,11.636494398117065
0,actor,borf,10,2,3,0.26898684210526314,0.0025071932525316367,793.4675929546356,11.709489583969116
0,actor,borf,1,30,10,0.26641447368421045,0.002282306916585902,804.2974436283112,11.64494514465332
0,actor,borf,15,2,3,0.2678092105263158,0.00272595601924106,765.0432569980621,11.549540042877197
0,actor,borf,2,30,10,0.26473684210526316,0.0022844773067590214,788.4308383464813,11.785746574401855
0,actor,borf,20,2,3,0.2653947368421053,0.002040025392270408,790.3674595355988,11.6784827709198
0,actor,borf,3,30,10,0.26665789473684215,0.0023377309831510737,796.4215092658997,11.67982816696167
0,actor,borf,30,2,3,0.2663552631578947,0.002125806022791684,804.4260182380676,11.69770073890686
0,actor,borf,1,30,20,0.2672302631578948,0.002147576018731977,754.737715959549,11.537023544311523
0,actor,borf,5,3,1,0.2660789473684211,0.002626397530633866,798.7467658519745,12.01052212715149
0,actor,borf,2,30,20,0.2664013157894737,0.0023425675918610487,786.8006045818329,12.01936411857605
0,actor,borf,10,3,1,0.26565131578947365,0.0022062376160066144,772.3689639568329,11.601452112197876
0,actor,borf,3,30,20,0.2679934210526316,0.002296448465351796,775.7642645835876,11.576209545135498
0,actor,borf,15,3,1,0.26649999999999996,0.002627409855442514,801.0930602550507,11.64045786857605
0,actor,borf,1,30,30,0.2665328947368421,0.0022871778416258715,781.5152339935303,11.615906000137329
0,actor,borf,20,3,1,0.2653355263157895,0.002220894778002427,804.1206192970276,11.691630125045776
0,actor,borf,2,30,30,0.26595394736842104,0.002291618399558853,766.2640936374664,11.522011041641235
0,actor,borf,30,3,1,0.26596710526315787,0.002535882038794676,778.4863398075104,11.805181503295898
0,actor,borf,3,30,30,0.26617763157894736,0.00243048042798195,735.481719493866,11.763891696929932
0,actor,borf,5,3,2,0.2664407894736842,0.002147962943370807,798.9770271778107,57.42813301086426
0,actor,borf,1,40,10,0.2666644736842105,0.002430477578663875,686.1307327747345,11.470932006835938
0,actor,borf,10,3,2,0.2674934210526315,0.002126789209282439,779.7037587165833,120.94029426574707
0,actor,borf,2,40,10,0.2658092105263158,0.0023459795720241405,730.6447162628174,11.445613145828247
0,actor,borf,15,3,2,0.2652171052631579,0.002433225618671097,787.9967219829559,68.17312455177307
0,actor,borf,3,40,10,0.26698026315789475,0.0019149773256868442,738.0114908218384,11.899722576141357
0,actor,borf,20,3,2,0.2667565789473684,0.002164979943993648,791.2395856380463,71.05191254615784
0,actor,borf,1,40,20,0.26779605263157896,0.002622707084583322,790.7339799404144,14.32137155532837
0,actor,borf,2,40,20,0.26448026315789475,0.0024290838617063463,695.6085124015808,14.369319677352905
0,actor,borf,30,3,2,0.26631578947368423,0.0022943082651449578,780.0331614017487,127.73697113990784
0,actor,borf,3,40,20,0.26509868421052635,0.0026631250648070067,757.0264101028442,11.581692934036255
0,actor,borf,5,3,3,0.26513157894736844,0.0023121232941657375,793.5442461967468,57.50378680229187
0,actor,borf,1,40,30,0.2670394736842105,0.0022699942645784013,694.0110068321228,11.618572473526001
0,actor,borf,10,3,3,0.2655,0.0023755973151774103,778.3335547447205,121.39162611961365
0,actor,borf,2,40,30,0.2658684210526316,0.002327518146056354,725.5291631221771,11.72735333442688
0,actor,borf,15,3,3,0.26503947368421055,0.0024630946348151955,789.3067293167114,69.15223217010498
0,actor,borf,3,40,30,0.26566447368421053,0.002481768355220743,736.2034599781036,11.685094594955444
0,actor,borf,20,3,3,0.26640131578947374,0.002505067924170748,1242.773078918457,73.27784705162048
0,actor,borf,30,3,3,0.26305263157894737,0.002219337077532819,1392.2599034309387,139.50343918800354
