,dataset,rewiring,num_iterations,borf_batch_add,borf_batch_remove,avg_accuracy,ci,run_duration,rewiring_duration
0,actor,borf,1,20,10,0.2615,0.0017368899514940798,1368.279435634613,11.840076208114624
0,actor,borf,1,20,10,0.26236184210526314,0.0017940436035736554,1103.7434935569763,11.381914854049683
0,actor,borf,2,20,10,0.2619671052631579,0.0017694991035777127,1002.0398843288422,11.540225505828857
0,actor,borf,3,20,10,0.2623618421052632,0.0018254221042613024,1097.2842264175415,11.208383560180664
0,actor,borf,1,20,20,0.2606578947368421,0.0018947368421052633,1019.1990835666656,11.190895080566406
0,actor,borf,2,20,20,0.2594342105263158,0.0015459512844721917,1076.0183291435242,11.196017742156982
0,actor,borf,3,20,20,0.26085526315789476,0.0018449695776305564,1029.9240868091583,11.185239315032959
0,actor,borf,1,20,30,0.26086184210526314,0.001692055638954748,1066.8121266365051,11.188408851623535
0,actor,borf,2,20,30,0.26259868421052635,0.0019246878906602732,1004.2660541534424,11.24682092666626
0,actor,borf,3,20,30,0.26292105263157894,0.0021388375438029803,1030.1373262405396,11.191543817520142
0,actor,borf,1,30,10,0.26071052631578945,0.0019667492196705693,1003.8521857261658,11.196441650390625
0,actor,borf,2,30,10,0.26107894736842097,0.0019009146362458334,1065.6889564990997,11.196701288223267
0,actor,borf,3,30,10,0.26293421052631577,0.0014787530308729008,1046.8826658725739,11.266479015350342
0,actor,borf,1,30,20,0.26140789473684206,0.001855237028558067,1071.8659572601318,11.186334371566772
0,actor,borf,2,30,20,0.2619407894736842,0.0018685484574797995,984.0003287792206,11.196744441986084
0,actor,borf,3,30,20,0.2620723684210526,0.001584242765015563,1034.2950611114502,11.157341957092285
0,actor,borf,1,30,30,0.2623947368421053,0.0018576151571362029,1025.0832195281982,11.143551349639893
0,actor,borf,2,30,30,0.26204605263157893,0.0018894017542385392,1029.3250873088837,11.15099310874939
0,actor,borf,3,30,30,0.2623223684210526,0.0016508680458198778,1039.1384172439575,11.503721714019775
0,actor,borf,1,40,10,0.2616381578947368,0.0015748515956992442,1085.8671414852142,11.141495943069458
0,actor,borf,2,40,10,0.2634473684210526,0.0014594377166407151,1010.8455724716187,11.155421495437622
0,actor,borf,3,40,10,0.2613026315789474,0.0016380791568479602,1035.8174939155579,11.164463758468628
0,actor,borf,1,40,20,0.26233552631578955,0.001977485374712596,1036.6799929141998,11.145665884017944
0,actor,borf,2,40,20,0.26119078947368424,0.0018594572786679278,1056.1844234466553,11.160086870193481
0,actor,borf,3,40,20,0.26218421052631574,0.002003673910913211,1026.1719725131989,11.175973176956177
0,actor,borf,1,40,30,0.2614605263157894,0.0017983699144031723,1053.3207280635834,11.183937549591064
0,actor,borf,2,40,30,0.2627631578947368,0.0018664741524523868,1074.8716564178467,11.333980560302734
0,actor,borf,3,40,30,0.26078947368421057,0.0018306031883619672,996.7991647720337,11.212739706039429
0,actor,borf,1,20,10,0.2475986842105263,0.0034103260479699886,494.4030497074127,11.660318613052368
0,actor,borf,2,20,10,0.24532894736842106,0.0048123189968479665,547.8868443965912,11.506380558013916
0,actor,borf,3,20,10,0.24753289473684212,0.0038738046588110303,582.2609159946442,11.509521484375
0,actor,borf,1,20,20,0.24728289473684206,0.0038500573348970355,556.3238289356232,11.65496301651001
0,actor,borf,2,20,20,0.24856578947368416,0.00380676701010872,575.7428920269012,11.691439867019653
0,actor,borf,3,20,20,0.24378947368421053,0.004254756178502377,530.9709146022797,11.711866855621338
0,actor,borf,1,20,30,0.24808552631578948,0.0033317335438480386,527.6395106315613,11.675164699554443
0,actor,borf,2,20,30,0.24811184210526313,0.004006645060382713,536.9839949607849,11.73450517654419
0,actor,borf,3,20,30,0.24566447368421052,0.003686986501173254,536.2480411529541,11.711368322372437
0,actor,borf,1,30,10,0.24700657894736844,0.0034767916224803562,555.6175055503845,11.74676251411438
0,actor,borf,2,30,10,0.24759868421052628,0.004054441453346559,529.026848077774,11.653890609741211
0,actor,borf,3,30,10,0.24907236842105265,0.004146640957773772,563.6076214313507,11.73501706123352
0,actor,borf,1,30,20,0.24618421052631578,0.003805749040829262,512.9244794845581,11.655255317687988
0,actor,borf,2,30,20,0.24608552631578948,0.004770254055442185,552.2249593734741,11.617683410644531
0,actor,borf,3,30,20,0.2465263157894737,0.0041792870735585155,546.0029299259186,11.764192819595337
0,actor,borf,1,30,30,0.24447368421052637,0.004373491033798364,537.7045111656189,11.736627101898193
0,actor,borf,2,30,30,0.2422894736842105,0.004225429218146049,537.5014712810516,11.56426215171814
0,actor,borf,3,30,30,0.24366447368421057,0.004010359464342442,515.6918375492096,11.771327257156372
0,actor,borf,1,40,10,0.24780921052631577,0.0035704744421970413,534.9186570644379,12.186532258987427
0,actor,borf,2,40,10,0.246625,0.0034836209053495425,587.2478420734406,11.634789228439331
0,actor,borf,3,40,10,0.2459078947368421,0.0037177318987406996,547.9456112384796,11.666092157363892
0,actor,borf,1,40,20,0.24686184210526313,0.00418374935393,563.444135427475,11.655466556549072
0,actor,borf,2,40,20,0.24721052631578946,0.003292057932261047,552.6330742835999,11.69100284576416
0,actor,borf,3,40,20,0.24536184210526316,0.0038376585208219965,587.4003109931946,11.681708812713623
0,actor,borf,1,40,30,0.24468421052631575,0.004293172444695088,598.549970626831,11.679704427719116
0,actor,borf,2,40,30,0.2464013157894737,0.004064296907096044,566.3369688987732,11.743529319763184
0,actor,borf,3,40,30,0.2445131578947368,0.0051340486634497695,544.8974239826202,11.574970245361328
0,actor,borf,5,2,1,0.2418815789473684,0.004400532736573036,414.56641697883606,11.27526044845581
0,actor,borf,10,2,1,0.24468421052631573,0.004621650542783627,419.5871584415436,11.221970081329346
0,actor,borf,15,2,1,0.24550657894736844,0.004446981258451556,387.1363399028778,11.213364601135254
0,actor,borf,20,2,1,0.24746710526315788,0.00369717526185837,406.2816619873047,11.242964506149292
0,actor,borf,30,2,1,0.2435789473684211,0.0032180735277362593,364.5977153778076,11.242870569229126
0,actor,borf,5,2,2,0.24307236842105265,0.004834571334270453,373.94282484054565,11.245591640472412
0,actor,borf,10,2,2,0.2477894736842106,0.003635320345804548,411.0250082015991,11.212275743484497
0,actor,borf,15,2,2,0.24996052631578944,0.0033245925332986855,420.44309401512146,11.243955373764038
0,actor,borf,20,2,2,0.2467828947368421,0.0034201362639099493,392.3542437553406,11.277386665344238
0,actor,borf,30,2,2,0.24714473684210525,0.00430394797180964,401.0529565811157,11.230619668960571
0,actor,borf,5,2,3,0.2462434210526316,0.004385757253856019,403.2934305667877,11.241230726242065
0,actor,borf,10,2,3,0.24719078947368422,0.003857434048389309,405.61769556999207,11.223496913909912
0,actor,borf,15,2,3,0.24938815789473687,0.0033642683592124134,404.69745993614197,11.208067655563354
0,actor,borf,20,2,3,0.2473289473684211,0.004841169102866422,416.16911911964417,11.579995393753052
0,actor,borf,30,2,3,0.24700000000000003,0.0034762410844995095,419.3001854419708,11.220605850219727
0,actor,borf,5,3,1,0.24388815789473686,0.004723310166982262,419.7596924304962,11.220565795898438
0,actor,borf,10,3,1,0.24599342105263158,0.004387722696008,419.1960515975952,11.219425201416016
0,actor,borf,15,3,1,0.24825000000000003,0.0031966492585196863,391.5923089981079,11.47425103187561
0,actor,borf,20,3,1,0.24786842105263163,0.0034753345361999547,391.97880697250366,11.226580381393433
0,actor,borf,30,3,1,0.24446710526315793,0.0037477183732959663,418.9400386810303,11.240028142929077
0,actor,borf,5,3,2,0.24660526315789472,0.004270369144650021,408.9787745475769,11.655965805053711
0,actor,borf,10,3,2,0.24782236842105265,0.003920685915384119,411.6994483470917,11.120398759841919
0,actor,borf,15,3,2,0.24788815789473687,0.0034662148062551594,408.49934244155884,11.131593704223633
0,actor,borf,20,3,2,0.24771052631578944,0.0034869404156945213,397.3226137161255,11.138952255249023
0,actor,borf,30,3,2,0.24273684210526317,0.004936996406521432,408.78152656555176,11.169718503952026
0,actor,borf,5,3,3,0.24530921052631577,0.004285138873619499,422.39901089668274,11.131054639816284
0,actor,borf,10,3,3,0.24948684210526317,0.004295264899167061,409.1492393016815,11.130792617797852
0,actor,borf,15,3,3,0.24567105263157896,0.00365160288107949,400.33331179618835,11.138487577438354
0,actor,borf,20,3,3,0.2448026315789474,0.0036597638163050534,436.3565638065338,11.21606731414795
0,actor,borf,30,3,3,0.24286842105263154,0.004310439559566507,404.8240895271301,11.365356206893921
0,actor,borf,5,4,1,0.24563157894736842,0.003847082212696596,421.72711300849915,11.118435144424438
0,actor,borf,10,4,1,0.24879605263157892,0.003800653054760364,440.06904006004333,11.12812352180481
0,actor,borf,15,4,1,0.2430921052631579,0.0049365608437442485,367.8936553001404,11.195992469787598
0,actor,borf,20,4,1,0.24685526315789474,0.00374635464554464,438.91840505599976,11.148122549057007
0,actor,borf,30,4,1,0.24966447368421055,0.002872913852305718,445.63490080833435,11.170785188674927
0,actor,borf,5,4,2,0.24571052631578946,0.003296859077727368,423.91098976135254,11.13537311553955
0,actor,borf,10,4,2,0.24811184210526316,0.0036590614856379052,407.04412722587585,11.167320013046265
0,actor,borf,15,4,2,0.246953947368421,0.003835369681734456,407.8821213245392,11.16701889038086
0,actor,borf,20,4,2,0.24673684210526317,0.003509184624852608,404.5696620941162,11.157439231872559
0,actor,borf,30,4,2,0.24433552631578948,0.004265751931715708,367.25738048553467,11.179579257965088
0,actor,borf,5,4,3,0.2446513157894737,0.004686451821865916,411.14840602874756,11.362248182296753
